"Keyword Version: 8.5","Revision: 2017-09-22 12:50:06","Timestamp: 2017-11-06 12:37:24","Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse","The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml""Case native"
Category,Topic,Term,Variable_Level_1,Variable_Level_2,Variable_Level_3,Detailed_Variable,UUID
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST PRODUCTS/COMMODITIES","","","","3676ebab-9aa0-43c2-94e5-5d59a34317d2"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST PROTECTION","","","","adeb4c27-a115-4ced-9827-5f022883f606"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","FOREST YIELDS","","","","49804617-d59b-4e97-8030-2c4ab79a3057"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","REFORESTATION","","","","be7f6de0-f51e-42bc-9a66-fff30d809a67"
"EARTH SCIENCE","AGRICULTURE","FOREST SCIENCE","","","","","22ec2f9b-1f1a-469b-bc09-851d58637ff4"
"EARTH SCIENCE","AGRICULTURE","PLANT COMMODITIES","FIELD CROP PRODUCTS","","","","63317fb1-01d9-4658-93e8-9800c5359454"
"EARTH SCIENCE","AGRICULTURE","PLANT COMMODITIES","FRUIT PRODUCTS","","","","41b30b1b-5dbb-4ef8-849c-e1949ad04227"
"EARTH SCIENCE","AGRICULTURE","PLANT COMMODITIES","HORTICULTURAL PRODUCTS","","","","d23b37cd-5e05-4356-b8b4-df6d7af236d6"
"EARTH SCIENCE","AGRICULTURE","PLANT COMMODITIES","VEGETABLE PRODUCTS","","","","eb1627c2-0061-466c-9935-399e53a06024"
"EARTH SCIENCE","AGRICULTURE","PLANT COMMODITIES","","","","","d6560f20-3bef-41c6-8eec-9f913329b9ac"
"EARTH SCIENCE","AGRICULTURE","SOILS","CALCIUM","","","","7367c08c-304f-4ce7-b716-975f835ba711"
"EARTH SCIENCE","AGRICULTURE","SOILS","CARBON","","","","9315c474-b65f-400d-beba-611c9a6a62cb"
"EARTH SCIENCE","AGRICULTURE","SOILS","CATION EXCHANGE CAPACITY","","","","5c05e69f-f6db-4296-abd3-3b07e6093579"
"EARTH SCIENCE","AGRICULTURE","SOILS","DENITRIFICATION RATE","","","","cac79930-334e-49c5-836b-4f2ee8e0b098"
"EARTH SCIENCE","AGRICULTURE","SOILS","ELECTRICAL CONDUCTIVITY","","","","7241d799-4f5c-4ae3-a4ec-2e9cdbf656aa"
"EARTH SCIENCE","AGRICULTURE","SOILS","HEAVY METALS","","","","8b3939b6-1c11-4a79-878e-0be1b231c528"
"EARTH SCIENCE","AGRICULTURE","SOILS","HYDRAULIC CONDUCTIVITY","","","","7112e739-cb5d-427e-95bd-5419360e91d8"
"EARTH SCIENCE","AGRICULTURE","SOILS","MACROFAUNA","","","","83da5ac6-5981-4929-9e19-f46522c1babe"
"EARTH SCIENCE","AGRICULTURE","SOILS","MAGNESIUM","","","","79f18259-bd76-4c7b-bd18-cbd2edafd24f"
"EARTH SCIENCE","AGRICULTURE","SOILS","MICROFAUNA","","","","53231d78-471d-4afe-a435-b577b7d53b17"
"EARTH SCIENCE","AGRICULTURE","SOILS","MICROFLORA","","","","b3063d3a-af53-44f9-a532-4cea2880c198"
"EARTH SCIENCE","AGRICULTURE","SOILS","MICRONUTRIENTS/TRACE ELEMENTS","","","","2473e776-4449-4351-9835-1507532ae60e"
"EARTH SCIENCE","AGRICULTURE","SOILS","NITROGEN","","","","5ed7811a-2ba1-4985-9f1c-a78c802fa27f"
"EARTH SCIENCE","AGRICULTURE","SOILS","ORGANIC MATTER","","","","83cf51f6-8c03-4f6d-b605-fde9818c7805"
"EARTH SCIENCE","AGRICULTURE","SOILS","PERMAFROST","","","","fb3ce3be-d830-407f-bd7c-58d66c24b6be"
"EARTH SCIENCE","AGRICULTURE","SOILS","PHOSPHORUS","","","","4962dabc-b426-4c84-8147-12e15645baff"
"EARTH SCIENCE","AGRICULTURE","SOILS","POTASSIUM","","","","c07fe67b-234e-4293-9f09-abaf9612c0e9"
"EARTH SCIENCE","AGRICULTURE","SOILS","RECLAMATION/REVEGETATION/RESTORATION","","","","356a10e1-c81d-44c7-9706-31f7f2642586"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL ABSORPTION","","","","d0da93ff-af45-4e26-8b94-8b90d0e06438"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL BULK DENSITY","","","","62d5fb39-e9ee-47db-a426-1991537f8a4d"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL CHEMISTRY","","","","652349bd-f6f9-4c8d-8573-d71e05ad1208"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL CLASSIFICATION","","","","2f57fd58-d8e4-4e6d-b8c3-2a9ef7e64f54"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL COLOR","","","","3985ce6b-e0c3-42a8-b40f-9dd948350c6e"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL COMPACTION","","","","e0c0af2a-1429-4248-8d5b-ccae510da0c9"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL CONSISTENCE","","","","25c5c222-c053-4081-ac0f-52e6c774198c"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL DEPTH","","","","b09b4731-f357-4838-829b-f38c0f5075aa"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL EROSION","","","","36c862a7-7117-4fd2-8e33-0dda03097178"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL FERTILITY","","","","e4781de7-a4a4-4157-a549-4ac238d36512"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL GAS/AIR","","","","d302aeaa-3a86-4ddf-9755-60b7bb4404a5"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL HEAT BUDGET","","","","68033b72-7f8d-48a4-8f63-638e4e96fd23"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL HORIZONS/PROFILE","","","","1fc22c9d-cf29-4bd7-90b1-b0f6f139fd92"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL IMPEDANCE","","","","6edf1b99-fe00-493e-b0d1-ad6b36b8da75"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL INFILTRATION","","","","0ab5ead8-6037-42b3-b3c0-0746f3645af6"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL MECHANICS","","","","3b1d75b6-7559-4921-8edb-63f4dff370cf"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL MOISTURE/WATER CONTENT","","","","88e1a654-5cfd-423f-9350-0ef48d85e085"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL PH","","","","2a9bce94-c391-4834-96bb-a9685d3590b1"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL PLASTICITY","","","","934bfe13-908b-40d9-b346-a347a8a6855e"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL POROSITY","","","","c26693ea-ca5a-44e8-9e8e-32427bc62aa0"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL PRODUCTIVITY","","","","5c6df811-bebf-4dae-a70f-f49fece3fa1e"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL RESPIRATION","","","","db9b56da-e05f-4d58-b9d5-34edc83ca650"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL ROOTING DEPTH","","","","2b91245e-a779-42fa-89c2-303217463b95"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL SALINITY/SOIL SODICITY","","","","3b54403e-25a1-43cc-97ac-7c14e73bda96"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL STRUCTURE","","","","e4daef1d-e672-41d0-bc6d-80c6b5c0799b"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL TEMPERATURE","","","","26f5bb2a-b872-41e8-922f-3a9a0e9f9bcd"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL TEXTURE","","","","afd1d3cb-d31d-4069-8cff-b592887aa18c"
"EARTH SCIENCE","AGRICULTURE","SOILS","SOIL WATER HOLDING CAPACITY","","","","223ce1f2-e2f1-4612-8fce-b96b7d34710f"
"EARTH SCIENCE","AGRICULTURE","SOILS","SULFUR","","","","e3d3f76d-0ffe-4616-9988-0520e78cf842"
"EARTH SCIENCE","AGRICULTURE","SOILS","THERMAL CONDUCTIVITY","","","","5c349776-dd95-483e-a5da-e8d1b1434985"
"EARTH SCIENCE","AGRICULTURE","SOILS","","","","","199e3af8-4cf3-48ba-8b28-b9b54756b3db"
"EARTH SCIENCE","AGRICULTURE","","","","","","a956d045-3b12-441c-8a18-fac7d33b2b4e"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL BACKSCATTER","","","","f795b88f-1aba-4548-97f6-7b587e8ba451"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL EXTINCTION","","","","40633fe2-5b32-4bdc-a17b-b1cfebc01ae7"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL FORWARD SCATTER","","","","449e2e03-8efd-42b6-8152-3602e4bab21d"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL OPTICAL DEPTH/THICKNESS","ANGSTROM EXPONENT","","","6e7306a1-79a5-482e-b646-74b75a1eaa48"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL OPTICAL DEPTH/THICKNESS","","","","61c3b720-abc8-4430-866c-f1da35d2cd0b"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL PARTICLE PROPERTIES","","","","02ea239e-4bca-4fda-ab87-be12c723c30a"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","AEROSOL RADIANCE","","","","7db9eab3-4c7a-4471-a826-a306f178ad3e"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","CARBONACEOUS AEROSOLS","","","","527f637c-aea5-4519-9293-d57e10a76bff"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","CLOUD CONDENSATION NUCLEI","","","","27478148-b4b6-4c89-8829-08d2ee7bfe10"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","DUST/ASH/SMOKE","","","","1b6342c6-315b-4f4f-b4e3-d6902aaa3e85"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","NITRATE PARTICLES","","","","768cfa32-003d-47bd-ab3a-3e27e4ec2699"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","ORGANIC PARTICLES","","","","8929113a-ded5-4c39-b20f-7968ed114317"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","PARTICULATE MATTER","","","","548a3f85-bf22-473b-b641-45c32d9c6a0c"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","SULFATE PARTICLES","","","","ca71b02b-4446-414c-8697-0950d7382cc4"
"EARTH SCIENCE","ATMOSPHERE","AEROSOLS","","","","","2e5a401b-1507-4f57-82b8-36557c13b154"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","CARBON MONOXIDE","","","","080389c4-68d4-41ee-ab89-070794038c8e"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","EMISSIONS","","","","2a60df4a-a0d7-4e4b-b02a-372a083f0170"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","LEAD","","","","c79453a3-ed2f-4ec4-9298-bf9fd11d08eb"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","NITROGEN OXIDES","","","","e5563c99-0fb6-43a9-8e20-6b47b1144394"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","PARTICULATES","","","","f9fe1bc0-88c5-4c26-9b4c-a9867d027685"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","SMOG","","","","bad08657-da2b-4e2b-9804-25c5732bc795"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","SULFUR OXIDES","","","","c3090318-c845-4242-bf2f-ff1631b88831"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","TROPOSPHERIC OZONE","","","","426aee98-764c-4c21-ab65-1e9d4bd6b0d0"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","TURBIDITY","","","","227cf2d4-968a-4312-89e6-8c6bcf616e5d"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","VISIBILITY","","","","9337898d-68dc-43d7-93a9-6afdb4ab1784"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","VOLATILE ORGANIC COMPOUNDS","","","","1f3c543d-9ca9-4db4-b4a5-d3e2fd71e4a4"
"EARTH SCIENCE","ATMOSPHERE","AIR QUALITY","","","","","77397026-09c9-44e0-b85f-77b2bc9b1630"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","BAROMETRIC ALTITUDE","","","","5d703cfe-2f7c-4736-acbc-ec4e4f4f8eef"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","GEOPOTENTIAL HEIGHT","","","","d6aec072-daf9-4f96-b667-6c7831cf6bdd"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","MESOPAUSE","","","","dacbf270-1734-4503-bab8-a32cdaff3012"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","PLANETARY BOUNDARY LAYER HEIGHT","","","","765e92a7-8c14-47dc-bdd8-d85d132a11ee"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","STATION HEIGHT","","","","2343baae-1c4a-4096-8cac-fea8ed7a984f"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","STRATOPAUSE","","","","82191e97-53ba-413d-9a08-acd8b848e0b0"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","TROPOPAUSE","","","","c3447c90-7490-4f04-89c1-c5274ba8f8f6"
"EARTH SCIENCE","ATMOSPHERE","ALTITUDE","","","","","16bfcf54-f8e1-4c8e-9bd4-a1ac06ea95a0"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","CARBON DIOXIDE","","","c3b81888-8a39-4b3f-8033-4c077797bcba"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","CARBON MONOXIDE","","","88a1b416-1589-45a4-9923-452975ec35c7"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","CHLORINATED HYDROCARBONS","","","cdab2cca-6767-427e-b464-09fe26ec59db"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","FORMALDEHYDE","","","bc05d7d2-3c96-4bb6-b759-d45e3c673b86"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","HYDROGEN CYANIDE","","","af157837-bdbd-4a9a-b24e-6a79adfef57f"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","HYPOCHLOROUS MONOXIDE","","","c6b2279c-804f-42bf-aa8a-0c81f9ecf6cd"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","METHANE","","","7c892333-f4c4-4f81-b825-d6a86e107e9f"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","METHYL CYANIDE","","","35721fc2-a968-487f-ad85-6307a18e4af6"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","NON-METHANE HYDROCARBONS/VOLATILE ORGANIC COMPOUNDS","","","06d230f1-08f8-48cc-9bbd-5f2358a84d13"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","CARBON AND HYDROCARBON COMPOUNDS","","","","19ab681c-bdd7-4793-bbdb-1ec498575314"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","BROMINE MONOXIDE","","","39c478bd-620e-455c-904d-4621965e376c"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","CARBON TETRACHLORIDE","","","1ecb1e7c-50fc-4951-b610-5140475d87ed"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","CHLORINE DIOXIDE","","","a56d397b-bff5-4a14-b54c-366470e023c7"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","CHLORINE MONOXIDE","","","6f96d1bd-f6ba-437a-9079-c575c4822248"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","CHLORINE NITRATE","","","a9104127-6846-4123-8ab0-b65c61a0018d"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","CHLOROFLUOROCARBONS","","","e78ae4ce-807a-4417-ad6e-a458c6da6638"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HALOCARBONS","","","13588158-07b6-4294-a00c-fa095b6ad4fd"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HALONS","","","33e3c858-25ee-4a5e-a938-93779679ed06"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HYDROCHLOROFLUOROCARBONS","","","f6b97280-74d0-4233-bd17-f9f3d9dd21c2"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HYDROFLUOROCARBONS","","","ed5106fd-a73f-4203-87a3-9c9e7e85dcfc"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HYDROGEN CHLORIDE","","","146a0a0b-1b42-41a6-b1f7-a27615b006a0"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HYDROGEN FLUORIDE","","","ff9f8056-84d6-4fbc-abe0-9b6e82ed3f5e"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","HYPOCHLOROUS ACID","","","27d63fe6-9970-46fd-9b22-a58e52efc57b"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","METHANOL","","","228c14d1-e9bf-4c25-a67b-92c99bc2a8b7"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","METHYL BROMIDE","","","9b6ca807-7719-48aa-864d-ebb45a519ff8"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","METHYL CHLORIDE","","","676248f0-75cd-466d-93f1-351440027c82"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HALOCARBONS AND HALOGENS","","","","d46a5046-e1c6-4a09-a2f1-db6a21eda611"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HYDROGEN COMPOUNDS","HYDROPEROXY","","","d8494f01-bcec-4232-ad78-fbd92c242e62"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HYDROGEN COMPOUNDS","HYDROXYL","","","5b49fd6d-3759-4b61-8b04-8309f38b2f90"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HYDROGEN COMPOUNDS","MOLECULAR HYDROGEN","","","e073c9d4-5a61-436c-8890-2695c4e825eb"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","HYDROGEN COMPOUNDS","","","","d8dcfd36-f71c-499f-84f5-43da9fee26c5"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","AMMONIA","","","6a745a5e-829c-43f5-8d5a-6fb549e7b81b"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2)","","","6c5a6bbe-a12f-4030-9220-2013db36cf47"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","CLOUD-SCREENED TROPOSHERIC COLUMN NO2","","","d92ae6cc-989b-45b8-92d3-68008356c2b0"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","DINITROGEN PENTOXIDE","","","9ca9519d-c62b-42ea-8c91-cad06cfc59cb"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","MOLECULAR NITROGEN","","","3c3b37d4-b934-4057-b8e4-438523ae88e3"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","NITRIC ACID","","","b7bbed0f-24a1-44d8-a10d-92541cd2c05b"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","NITRIC OXIDE","","","82a60ed8-5414-4ce0-858c-c50b27b12bc8"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","NITROGEN DIOXIDE","","","f8e65155-27c1-483e-a9b8-85399897c3ae"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","NITROGEN OXIDES","","","e82ebd1c-8241-4ca0-95a9-a6e1432519cd"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","NITROUS OXIDE","","","cf08917f-4cef-456f-99b0-57dc468da877"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","Peroxyacyl Nitrate","","","d44d3115-91d1-4655-9e6e-babfe39e1632"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","NITROGEN COMPOUNDS","","","","9e5ec924-2fd3-4cbb-a7eb-ffde114d0cb9"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","OXYGEN COMPOUNDS","MOLECULAR OXYGEN","","","61f4f3d0-7895-4cce-94e3-d249001d5ee8"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","OXYGEN COMPOUNDS","OZONE","","","dd316647-9043-40c3-9329-f22f9215fefa"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","OXYGEN COMPOUNDS","","","","4cc9b4fa-5097-447f-914c-eb90820938c6"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","PHOTOCHEMISTRY","PHOTOLYSIS RATES","","","0fd2b083-e65c-443b-9794-2c355ebac06b"
"EARTH SCIENCE","ATMOSPHERE","ATMOSPHERIC CHEMISTRY","PHOTOCHEMISTRY","","","","6433e330-3797-4cf9-a8ba-d26d39624459"
